"year","resolved_species","meanL","seL","mseL","meanH","seH","mseH","meanW","seW","mseW","meanK","seK","mseK","N"
2023,"Herring",110.22,2.15,"110.22 (2.15)",20.36,0.55,"20.36 (0.55)",11.43,0.71,"11.43 (0.71)",0.69,0.03,"0.69 (0.03)",160
2023,"Smelt",102.75,3.89,"102.75 (3.89)",20.67,0.83,"20.67 (0.83)",9.99,1.25,"9.99 (1.25)",0.89,0.03,"0.89 (0.03)",12
2024,"Anchovy",142.6,5.81,"142.6 (5.81)",24.56,1.24,"24.56 (1.24)",17.03,2.53,"17.03 (2.53)",0.52,0.02,"0.52 (0.02)",25
2024,"Greenling",69.2,1.2,"69.2 (1.2)",10.6,0.6,"10.6 (0.6)",1.75,0.25,"1.75 (0.25)",0.53,0.07,"0.53 (0.07)",5
2024,"Herring",107.28,2.67,"107.28 (2.67)",19.57,0.61,"19.57 (0.61)",10.21,0.68,"10.21 (0.68)",0.69,0.02,"0.69 (0.02)",116
2024,"Perch",212.2,7.77,"212.2 (7.77)",77.8,1.16,"77.8 (1.16)",298.58,11.4,"298.58 (11.4)",3.25,0.41,"3.25 (0.41)",5
2024,"Sandlance",100.35,2.08,"100.35 (2.08)",8.5,0.22,"8.5 (0.22)",1.02,0.07,"1.02 (0.07)",0.14,0.05,"0.14 (0.05)",40
2024,"Sardine",224.25,7.78,"224.25 (7.78)",56.65,2.67,"56.65 (2.67)",141.88,13.43,"141.88 (13.43)",1.16,0.05,"1.16 (0.05)",20
2024,"Smelt",136.38,1.9,"136.38 (1.9)",21.7,0.42,"21.7 (0.42)",12.09,0.57,"12.09 (0.57)",0.43,0.01,"0.43 (0.01)",143
2025,"Anchovy",132.31,3.6,"132.31 (3.6)",22.62,0.64,"22.62 (0.64)",12.99,0.99,"12.99 (0.99)",0.53,0.01,"0.53 (0.01)",42
2025,"Herring",119.47,2.66,"119.47 (2.66)",22,0.6,"22 (0.6)",13.67,0.88,"13.67 (0.88)",0.65,0.01,"0.65 (0.01)",138
2025,"Sardine",187,13,"187 (13)",40,7,"40 (7)",56.56,24.23,"56.56 (24.23)",0.81,0.2,"0.81 (0.2)",2
2025,"Smelt",112.09,2.3,"112.09 (2.3)",16.67,0.49,"16.67 (0.49)",7.21,0.58,"7.21 (0.58)",0.38,0.01,"0.38 (0.01)",162
