"year","infill_method","MAPE","MAE_w0","MAE_no0","MASE"
2024,"coho_yearling_interp.stine",1.59903220118536,3.09870559420234,3.61003932427193,0.54227347898541
2024,"coho_yearling_interp.linear",1.70030234315949,3.23214285714286,3.66785714285714,0.565625
2024,"coho_yearling_MA.simp3",1.75793650793651,3.4375,3.5625,0.6015625
2024,"coho_yearling_MA.linear3",1.82269705603039,3.44929792429792,3.49117826617827,0.603627136752137
2024,"coho_yearling_MA.exp3",1.87724867724868,3.45750360750361,3.43694083694084,0.605063131313131
2024,"coho_yearling_MA.exp2",1.90899470899471,3.48131313131313,3.41313131313131,0.609229797979798
2024,"coho_yearling_MA.linear2",1.87654320987654,3.48968253968254,3.45079365079365,0.610694444444444
2024,"coho_yearling_MA.simp2",1.84126984126984,3.5,3.5,0.6125
2024,"coho_yearling_kal.structs",1.3530491441487,3.54468232119472,3.98259894190742,0.620319406209076
2024,"coho_yearling_kal.arima",1,4.125,5.125,0.721875
2025,"coho_yearling_kal.arima",0.768243975374036,0.541552733786681,0.816105900045367,1.08310546757336
2025,"coho_yearling_interp.linear",1.01388888888889,0.75,0.935185185185185,1.5
2025,"coho_yearling_interp.stine",1.07499752833345,0.780767912855597,0.995695776766019,1.56153582571119
2025,"coho_yearling_MA.simp2",1.08333333333333,0.833333333333333,0.944444444444444,1.66666666666667
2025,"coho_yearling_MA.simp3",1.08333333333333,0.833333333333333,0.944444444444444,1.66666666666667
2025,"coho_yearling_MA.linear2",1.13809523809524,0.851322751322751,0.9994708994709,1.7026455026455
2025,"coho_yearling_MA.linear3",1.13809523809524,0.851322751322751,0.9994708994709,1.7026455026455
2025,"coho_yearling_MA.exp2",1.17777777777778,0.862962962962963,1.04074074074074,1.72592592592593
2025,"coho_yearling_MA.exp3",1.17777777777778,0.862962962962963,1.04074074074074,1.72592592592593
2025,"coho_yearling_kal.structs",0.973916353242177,1.11003731866868,0.776703985335343,2.22007463733735
